cap-texture,spore-pattern,stem-flexibility,ring-thickness,cap-shape,cap-surface,cap-color,gill-attachment,stalk-shape,veil-type,veil-color,ring-number,population,habitat,class
k,h,e,a,b,y,y,f,e,p,w,o,s,m,e
c,m,c,c,x,f,y,f,t,p,w,o,v,d,e
g,d,f,a,s,f,g,f,e,p,w,o,v,u,e
h,f,e,b,x,y,n,f,e,p,w,o,s,u,p
s,e,b,a,x,f,y,f,t,p,w,o,v,d,e
d,b,g,a,b,s,y,f,e,p,w,o,s,m,e
e,o,h,b,b,y,y,f,e,p,w,o,s,g,e
k,e,i,c,x,y,y,f,e,p,w,o,y,p,e
e,l,g,a,x,f,n,f,e,p,w,o,y,u,e
q,g,j,a,x,y,w,f,e,p,w,o,v,g,p
f,e,e,c,x,s,y,f,e,p,w,o,n,m,e
s,j,b,b,x,y,w,f,e,p,w,o,n,g,e
i,a,b,c,x,y,y,f,e,p,w,o,s,m,e
c,l,i,a,x,s,w,f,e,p,w,o,n,m,e
m,o,e,b,x,y,y,f,e,p,w,o,s,p,e
m,l,j,b,f,y,y,f,e,p,w,o,s,p,e
a,o,b,c,x,y,n,f,e,p,w,o,s,g,e
p,a,j,a,x,s,w,f,e,p,w,o,s,g,e
g,i,f,a,b,s,w,f,e,p,w,o,n,m,e
q,c,j,b,x,y,n,f,e,p,w,o,v,u,p
a,g,h,a,x,s,w,f,e,p,w,o,v,u,p
b,i,g,a,b,y,y,f,e,p,w,o,s,m,e
a,a,b,b,f,f,g,f,t,p,w,o,a,g,e
h,a,h,c,b,s,w,f,e,p,w,o,n,g,e
i,k,j,c,x,s,y,f,e,p,w,o,n,g,e
k,b,j,b,x,y,n,f,e,p,w,o,y,p,e
q,b,j,b,s,f,g,f,e,p,w,o,v,u,e
k,k,c,c,b,y,y,f,e,p,w,o,s,m,e
j,k,e,c,b,s,y,f,e,p,w,o,s,m,e
p,l,f,b,b,y,y,f,e,p,w,o,n,m,e
j,d,i,a,b,y,w,f,e,p,w,o,s,g,e
j,h,e,b,f,s,n,f,t,p,w,o,a,g,e
h,a,e,b,x,s,w,f,e,p,w,o,s,g,e
q,c,g,c,f,y,y,f,e,p,w,o,s,g,e
e,j,a,b,x,y,y,f,e,p,w,o,n,g,e
b,l,f,c,x,f,g,f,e,p,w,o,v,u,e
m,g,e,c,f,f,y,f,t,p,w,o,v,d,e
k,j,i,a,b,y,w,f,e,p,w,o,s,m,e
p,a,b,b,f,f,y,f,t,p,w,o,v,d,e
m,j,i,a,x,y,n,f,e,p,w,o,s,p,e
a,i,i,c,b,s,y,f,e,p,w,o,s,g,e
m,j,j,a,f,s,y,f,t,p,w,o,v,d,e
h,i,i,c,x,s,w,f,t,p,w,o,v,d,e
s,b,h,c,f,y,n,f,e,p,w,o,y,p,e
g,i,j,c,x,y,n,f,e,p,w,o,v,u,p
f,h,d,b,f,y,n,f,e,p,w,o,y,g,e
f,l,i,b,x,s,n,f,t,p,w,o,s,g,e
e,b,a,b,x,y,w,f,e,p,w,o,s,g,p
m,a,b,b,f,f,g,f,e,p,w,o,y,u,e
r,c,h,b,x,f,g,f,t,p,w,o,s,g,e
i,j,e,a,x,y,y,f,e,p,w,o,s,g,e
g,k,j,b,x,s,n,f,t,p,w,o,s,g,e
f,d,b,a,b,s,w,f,e,p,w,o,s,g,e
s,o,g,b,x,s,w,f,e,p,w,o,s,g,e
i,m,i,a,f,y,n,f,e,p,w,o,y,g,e
g,o,i,a,s,f,n,f,e,p,w,o,v,u,e
m,d,e,a,x,f,n,f,e,p,w,o,y,u,e
e,o,a,b,b,s,w,f,e,p,w,o,s,g,e
e,k,f,c,x,y,y,f,e,p,w,o,s,g,e
q,g,i,c,x,y,y,f,e,p,w,o,n,m,e
b,d,b,b,x,s,n,f,t,p,w,o,a,g,e
o,i,i,a,x,s,w,f,e,p,w,o,s,g,e
m,m,b,a,f,y,n,f,e,p,w,o,s,g,e
o,b,d,b,x,s,y,f,e,p,w,o,n,g,e
f,n,e,a,b,s,w,f,e,p,w,o,s,g,e
d,d,e,b,x,y,w,f,e,p,w,o,s,g,e
l,n,d,c,x,f,n,f,t,p,w,o,s,g,e
j,i,j,b,b,s,y,f,e,p,w,o,n,g,e
b,a,f,a,f,y,y,f,e,p,w,o,s,g,e
m,l,i,c,x,y,y,f,e,p,w,o,y,p,e
s,n,a,c,b,y,w,f,e,p,w,o,n,g,e
k,d,i,a,x,y,y,f,e,p,w,?,n,m,e
f,k,g,a,x,y,y,f,e,p,w,o,y,g,e
p,c,b,b,b,y,w,f,e,p,w,o,s,m,e
o,l,f,b,b,y,w,f,e,p,w,o,s,m,e
j,e,b,b,x,s,y,f,e,p,w,o,n,m,e
j,o,c,a,x,s,y,f,e,p,w,o,n,g,e
d,c,d,c,s,f,g,f,e,p,w,o,y,u,e
k,j,e,a,x,f,w,f,t,p,w,o,v,d,e
h,g,b,b,x,s,y,f,e,p,w,o,n,m,e
b,c,j,b,x,y,w,f,e,p,w,o,v,u,p
l,n,b,a,x,y,y,f,e,p,w,o,s,g,e
l,d,f,a,s,f,g,f,e,p,w,o,y,u,e
h,h,h,a,x,y,y,f,e,p,w,o,y,g,e
b,c,c,a,x,s,y,f,t,p,w,o,v,d,e
i,d,e,b,s,f,n,f,e,p,w,o,y,u,e
d,o,a,c,x,s,w,f,e,p,w,o,v,g,p
l,m,j,c,x,y,w,f,e,p,w,o,n,m,e
m,f,c,a,f,y,n,f,e,p,w,o,v,g,p
k,l,a,b,f,s,g,f,t,p,w,o,a,g,e
n,e,b,b,x,s,y,f,e,p,w,o,s,m,e
i,j,f,b,x,s,w,f,t,p,w,o,s,g,e
g,b,e,c,b,s,y,f,e,p,w,o,n,g,e
s,h,c,b,f,f,g,f,t,p,w,o,a,g,e
i,f,j,c,x,s,w,f,e,p,w,o,n,g,e
r,m,g,b,b,s,w,f,e,p,w,o,s,m,e
h,d,a,c,b,s,w,f,e,p,w,o,s,g,e
m,f,c,b,b,y,w,f,e,p,w,o,s,m,e
q,j,j,c,f,s,w,f,t,p,w,o,v,d,e
s,l,a,a,x,y,y,f,e,p,w,o,s,m,e
l,o,d,b,f,s,w,f,t,p,w,o,v,d,e
p,a,c,b,x,y,w,f,e,p,w,o,v,u,p
b,i,g,b,f,f,w,f,t,p,w,o,v,d,e
m,g,f,b,x,y,y,f,e,p,w,o,s,g,e
i,b,b,a,x,s,n,f,e,p,w,o,v,g,p
r,f,j,b,b,s,y,f,e,p,w,o,n,g,e
m,l,j,c,x,y,n,f,e,p,w,o,y,p,e
n,g,d,c,b,y,y,f,e,p,w,o,n,m,e
l,e,f,b,s,f,n,f,e,p,w,o,v,u,e
m,k,e,a,f,y,n,f,e,p,w,o,y,p,e
h,d,b,c,x,y,y,f,e,p,w,o,n,g,e
r,j,d,a,x,f,g,f,t,p,w,o,s,g,e
c,b,i,b,f,f,w,f,t,p,w,o,a,g,e
g,b,j,c,x,y,y,f,e,p,w,o,n,m,e
g,i,f,b,b,s,y,f,e,p,w,o,n,g,e
j,j,b,a,b,y,w,f,e,p,w,o,n,m,e
f,c,a,b,x,y,w,f,e,p,w,o,s,g,e
o,n,h,c,x,s,n,f,t,p,w,o,a,g,e
r,h,i,b,x,y,w,f,e,p,w,o,s,g,e
e,c,e,a,s,f,n,f,e,p,w,o,v,u,e
l,n,j,c,x,s,w,f,t,p,w,o,v,d,e
i,i,b,c,x,y,n,f,e,p,w,o,s,g,e
i,g,j,b,b,y,y,f,e,p,w,o,n,g,e
r,a,f,b,x,y,w,f,e,p,w,o,n,g,e
q,n,h,b,b,y,w,f,e,p,w,o,s,m,e
b,e,h,c,b,s,y,f,e,p,w,o,s,g,e
l,n,d,a,b,s,y,f,e,p,w,o,s,m,e
o,i,d,c,b,y,y,f,e,p,w,o,n,g,e
o,h,e,a,x,f,n,f,e,p,w,o,y,u,e
j,l,j,a,f,y,n,f,e,p,w,o,y,g,e
p,h,g,c,x,y,w,f,e,p,w,o,s,g,e
i,m,e,b,f,y,y,f,e,p,w,o,y,p,e
d,k,d,a,b,s,w,f,e,p,w,o,s,g,e
f,b,g,c,b,s,w,f,e,p,w,o,s,m,e
a,d,h,c,x,y,n,f,e,p,w,o,y,g,e
b,h,i,a,b,s,w,f,e,p,w,o,s,g,e
c,g,c,a,x,f,g,f,e,p,w,o,y,u,e
r,b,i,c,b,s,y,f,e,p,w,o,s,g,e
c,l,c,b,x,f,y,f,t,p,w,o,v,d,e
e,e,f,b,b,y,y,f,e,p,w,o,s,g,e
f,f,a,a,f,y,y,f,e,p,w,o,s,g,e
n,o,f,b,b,y,w,f,e,p,w,o,n,m,e
p,o,e,b,b,y,w,f,e,p,w,o,n,m,e
d,d,j,c,b,y,y,f,e,p,w,o,s,g,e
r,o,g,b,x,y,y,f,e,p,w,o,n,m,e
b,o,d,a,b,s,y,f,e,p,w,o,n,g,e
h,d,f,a,x,y,w,f,e,p,w,o,v,u,p
f,m,g,a,s,f,n,f,e,p,w,o,y,u,e
n,o,f,c,f,f,n,f,e,p,w,o,v,u,e
m,o,i,b,x,s,y,f,e,p,w,o,s,m,e
b,b,j,a,f,y,n,f,e,p,w,o,s,p,e
p,h,i,a,x,y,w,f,e,p,w,o,s,g,p
m,m,a,a,b,s,w,f,e,p,w,o,s,m,e
m,j,h,b,f,f,g,f,e,p,w,o,v,u,e
l,b,j,a,b,y,y,f,e,p,w,o,n,g,e
n,g,f,b,x,y,n,f,e,p,w,o,y,p,e
o,h,c,a,x,f,w,f,t,p,w,o,s,g,e
p,d,a,a,x,s,w,f,t,p,w,o,v,d,e
a,f,f,a,b,s,w,f,e,p,w,o,s,m,e
q,f,h,a,f,s,y,f,t,p,w,o,v,d,e
m,g,e,a,x,s,y,f,e,p,w,o,n,m,e
m,n,i,b,f,f,g,f,e,p,w,o,y,u,e
m,a,i,c,b,s,y,f,e,p,w,o,s,g,e
q,j,g,c,x,s,w,f,e,p,w,o,n,m,e
f,n,f,c,x,y,w,f,e,p,w,o,s,m,e
s,d,h,a,f,s,w,f,t,p,w,o,v,d,e
n,c,h,a,x,y,y,f,e,p,w,o,s,g,e
p,j,f,a,b,s,w,f,e,p,w,o,s,g,e
o,a,i,b,x,s,w,f,e,p,w,o,n,g,e
g,j,i,a,x,f,w,f,t,p,w,o,s,g,e
l,i,b,b,f,y,n,f,e,p,w,o,y,p,e
c,k,e,c,x,s,w,f,e,p,w,o,v,u,p
i,o,a,b,b,s,w,f,e,p,w,o,n,g,e
a,j,h,c,b,s,w,f,e,p,w,o,s,m,e
q,c,j,c,b,y,w,f,e,p,w,o,n,g,e
s,i,f,a,b,y,w,f,e,p,w,o,n,g,e
d,m,g,a,x,s,y,f,e,p,w,o,s,g,e
k,o,i,a,b,s,w,f,e,p,w,o,n,m,e
r,k,i,c,x,f,y,f,t,p,w,o,v,d,e
d,a,f,b,x,f,g,f,e,p,w,o,y,u,e
b,e,g,c,f,y,y,f,e,p,w,o,s,g,e
s,e,d,b,b,s,w,f,e,p,w,o,n,m,e
g,o,d,a,x,s,y,f,e,p,w,o,s,g,e
f,h,c,a,x,y,y,f,e,p,w,o,s,g,e
a,b,c,c,x,y,w,f,e,p,w,o,s,g,e
i,f,e,a,s,f,g,f,e,p,w,o,v,u,e
r,e,j,b,x,s,w,f,e,p,w,o,n,m,e
e,l,f,a,x,s,w,f,e,p,w,o,s,g,p
n,k,h,b,x,y,y,f,e,p,w,o,s,g,e
p,b,b,a,f,f,w,f,t,p,w,o,v,d,e
s,a,g,a,x,y,w,f,e,p,w,o,n,m,e
e,j,h,c,b,y,w,f,e,p,w,o,s,g,e
g,n,b,b,x,s,w,f,e,p,w,o,n,g,e
l,f,c,a,x,s,y,f,e,p,w,o,s,g,e
p,a,g,a,x,y,n,f,e,p,w,o,v,u,p
o,i,b,b,b,s,y,f,e,p,w,o,n,g,e
m,c,f,c,x,f,g,f,e,p,w,o,y,u,e
o,f,j,b,x,y,w,f,e,p,w,o,s,u,p
f,i,a,b,x,y,y,f,e,p,w,o,y,p,e
d,o,e,a,f,f,n,f,e,p,w,o,v,u,e
c,b,e,b,b,s,w,f,e,p,w,o,n,g,e
l,f,f,a,x,f,w,f,t,p,w,o,v,d,e
o,m,a,c,x,y,w,f,e,p,w,o,s,g,e
b,i,a,c,b,y,y,f,e,p,w,o,s,g,e
o,a,b,c,x,y,y,f,e,p,w,o,s,g,e
n,e,a,b,f,y,y,f,e,p,w,o,s,p,e
s,j,b,c,f,y,y,f,e,p,w,o,y,p,e
h,c,d,b,x,s,w,f,e,p,w,o,s,g,e
l,n,b,b,x,s,w,f,e,p,w,o,n,m,e
k,a,a,b,x,s,w,f,e,p,w,o,v,u,p
m,b,j,a,f,f,w,f,t,p,w,o,v,d,e
d,f,i,a,x,s,w,f,e,p,w,o,s,g,e
q,c,a,c,x,s,w,f,t,p,w,o,v,d,e
k,b,g,b,x,y,w,f,e,p,w,o,s,m,e
n,a,i,c,f,y,y,f,e,p,w,o,y,p,e
s,d,f,a,x,s,n,f,t,p,w,o,s,g,e
o,o,h,b,f,y,y,f,e,p,w,o,y,g,e
c,c,a,b,x,s,n,f,e,p,w,o,s,g,p
k,d,d,c,s,f,n,f,e,p,w,o,v,u,e
f,a,j,a,b,y,y,f,e,p,w,o,s,m,e
d,g,e,c,b,s,w,f,e,p,w,o,s,g,e
i,a,c,c,b,y,w,f,e,p,w,o,n,m,e
q,e,h,c,f,f,n,f,e,p,w,o,v,u,e
c,c,i,c,x,s,w,f,e,p,w,o,n,m,e
l,j,i,c,b,y,w,f,e,p,w,o,n,g,e
r,b,f,c,b,y,w,f,e,p,w,o,n,m,e
n,f,h,a,f,y,n,f,e,p,w,o,s,g,e
a,h,b,c,x,y,w,f,e,p,w,o,v,g,p
i,b,f,b,x,s,w,f,e,p,w,o,n,g,e
c,j,i,c,x,y,w,f,e,p,w,o,s,m,e
s,d,b,c,f,f,w,f,t,p,w,o,v,d,e
q,d,e,c,f,f,g,f,e,p,w,o,v,u,e
l,g,f,a,f,s,g,f,t,p,w,o,a,g,e
g,n,c,c,x,y,y,f,e,p,w,o,s,m,e
l,j,g,b,b,s,w,f,e,p,w,o,s,m,e
o,j,i,b,f,y,n,f,e,p,w,o,s,u,p
f,g,i,a,x,s,w,f,e,p,w,o,n,m,e
g,a,b,a,f,s,n,f,e,p,w,o,v,u,p
m,f,e,b,x,y,w,f,e,p,w,o,s,g,e
l,m,c,c,x,y,y,f,e,p,w,o,n,m,e
a,n,e,b,f,y,y,f,e,p,w,o,s,p,e
f,h,i,a,x,y,n,f,e,p,w,o,s,p,e
f,f,d,a,f,y,n,f,e,p,w,o,y,g,e
s,a,h,c,x,y,w,f,e,p,w,o,n,m,e
h,k,g,c,f,f,n,f,t,p,w,o,s,g,e
a,e,j,a,x,s,y,f,e,p,w,o,n,m,e
f,o,a,c,x,y,w,f,e,p,w,o,s,g,p
q,a,h,c,b,y,y,f,e,p,w,o,n,m,e
h,o,f,c,s,f,n,f,e,p,w,o,v,u,e
f,g,j,a,x,s,y,f,e,p,w,o,s,m,e
g,b,d,c,b,y,w,f,e,p,w,o,n,m,e
h,j,c,b,f,y,n,f,e,p,w,o,s,g,e
l,g,d,c,b,y,y,f,e,p,w,o,s,m,e
o,m,a,b,b,y,w,f,e,p,w,o,s,g,e
h,o,j,b,x,y,n,f,e,p,w,o,y,p,e
j,m,d,b,f,f,g,f,e,p,w,o,y,u,e
j,i,g,c,x,f,g,f,e,p,w,o,y,u,e
k,m,d,b,b,y,y,f,e,p,w,o,s,g,e
k,a,f,b,x,s,y,f,e,p,w,o,s,m,e
r,a,h,c,b,y,w,f,e,p,w,o,s,g,e
k,g,b,b,x,s,w,f,e,p,w,o,s,m,e
l,e,b,b,b,s,y,f,e,p,w,o,n,m,e
f,k,e,c,x,s,y,f,e,p,w,o,s,m,e
l,l,a,b,x,f,g,f,t,p,w,o,s,g,e
i,l,j,b,f,s,y,f,t,p,w,o,v,d,e
q,k,i,c,x,y,w,f,e,p,w,o,s,g,p
g,j,h,a,x,f,w,f,t,p,w,o,a,g,e
h,c,d,a,b,y,w,f,e,p,w,o,s,g,e
h,d,i,b,x,s,y,f,t,p,w,o,v,d,e
m,i,b,b,b,y,w,f,e,p,w,o,s,g,e
p,n,a,c,x,y,w,f,e,p,w,o,s,g,e
i,b,h,b,x,f,n,f,t,p,w,o,y,d,e
r,a,i,a,b,y,w,f,e,p,w,o,s,m,e
e,b,c,c,x,s,y,f,e,p,w,o,n,m,e
h,o,g,a,f,y,n,f,e,p,w,o,y,g,e
i,o,j,b,x,f,w,f,t,p,w,o,s,g,e
r,b,e,c,x,s,y,f,e,p,w,o,s,g,e
c,d,e,b,x,y,w,f,e,p,w,o,v,g,p
p,n,f,a,x,y,y,f,e,p,w,o,s,g,e
p,h,b,a,x,f,w,f,t,p,w,o,v,d,e
i,l,f,a,b,s,y,f,e,p,w,o,n,g,e
s,a,i,c,x,y,w,f,e,p,w,o,v,u,p
f,f,c,c,x,s,y,f,t,p,w,o,v,d,e
n,m,j,c,x,y,w,f,e,p,w,o,n,m,e
o,c,i,a,x,f,w,f,t,p,w,o,v,d,e
d,n,g,b,f,s,w,f,t,p,w,o,v,d,e
g,a,g,a,x,y,y,f,e,p,w,o,s,m,e
m,d,g,c,f,f,y,f,t,p,w,o,v,d,e
i,n,j,b,x,s,w,f,e,p,w,o,s,g,e
f,h,a,c,b,y,y,f,e,p,w,o,s,m,e
d,f,c,b,x,y,n,f,e,p,w,o,s,p,e
f,o,g,b,b,y,w,f,e,p,w,o,n,g,e
h,f,c,a,x,s,y,f,e,p,w,o,s,m,e
c,o,i,a,x,y,n,f,e,p,w,o,v,u,p
m,h,h,a,b,s,y,f,e,p,w,o,n,g,e
d,d,j,b,b,y,w,f,e,p,w,o,n,g,e
p,g,d,c,x,y,n,f,e,p,w,o,v,u,p
c,h,c,a,b,s,w,f,e,p,w,o,s,m,e
j,m,d,c,b,y,y,f,e,p,w,o,n,m,e
n,k,j,b,b,y,y,f,e,p,w,o,s,g,e
f,n,g,a,x,y,w,f,e,p,w,o,n,g,e
o,n,b,b,x,f,n,f,t,p,w,o,y,d,e
e,b,f,c,x,y,n,f,e,p,w,o,y,g,e
r,l,i,a,b,s,y,f,e,p,w,o,s,g,e
i,i,j,a,x,f,g,f,e,p,w,o,v,u,e
s,n,j,c,x,y,n,f,e,p,w,o,y,g,e
g,d,h,c,x,s,w,f,e,p,w,o,s,g,e
g,a,b,c,b,y,w,f,e,p,w,o,n,g,e
j,e,i,b,x,s,y,f,e,p,w,o,s,m,e
f,f,a,b,f,f,y,f,t,p,w,o,v,d,e
h,j,g,c,b,y,y,f,e,p,w,o,s,g,e
m,l,c,a,x,f,n,f,t,p,w,o,a,g,e
c,h,j,b,x,f,y,f,t,p,w,o,v,d,e
i,f,c,b,x,s,y,f,e,p,w,o,n,m,e
m,k,b,b,f,s,g,f,t,p,w,o,s,g,e
s,f,h,b,x,f,n,f,e,p,w,o,y,u,e
l,m,f,b,f,s,g,f,t,p,w,o,a,g,e
g,l,j,b,f,y,n,f,e,p,w,o,s,p,e
g,f,a,b,b,y,w,f,e,p,w,o,s,g,e
o,h,j,b,b,s,y,f,e,p,w,o,s,m,e
s,g,e,a,x,y,y,f,e,p,w,o,s,p,e
i,n,g,b,s,f,g,f,e,p,w,o,v,u,e
a,o,d,a,f,y,n,f,e,p,w,o,y,p,e
r,j,g,b,x,y,n,f,e,p,w,o,s,u,p
f,k,c,a,x,y,y,f,e,p,w,o,y,p,e
h,h,b,a,x,y,y,f,e,p,w,o,s,g,e
l,m,g,c,x,f,n,f,t,p,w,o,s,g,e
h,h,g,a,x,f,n,f,t,p,w,o,a,g,e
g,n,e,c,f,s,n,f,t,p,w,o,a,g,e
q,a,d,b,f,y,n,f,e,p,w,o,s,p,e
e,h,b,a,x,s,y,f,e,p,w,o,n,g,e
e,k,c,c,f,f,n,f,e,p,w,o,v,u,e
c,a,e,b,x,y,y,f,e,p,w,o,s,p,e
c,j,g,b,x,f,y,f,t,p,w,o,v,d,e
n,d,h,b,b,y,y,f,e,p,w,o,n,g,e
h,g,b,a,x,f,g,f,t,p,w,o,s,g,e
a,l,c,c,x,y,y,f,e,p,w,o,s,g,e
c,b,a,c,f,y,n,f,e,p,w,o,y,g,e
m,b,e,c,x,s,y,f,e,p,w,o,s,m,e
g,d,f,c,s,f,n,f,e,p,w,o,y,u,e
d,b,b,a,x,s,w,f,e,p,w,o,s,m,e
p,c,e,a,b,s,w,f,e,p,w,o,n,g,e
n,n,h,b,s,f,n,f,e,p,w,o,y,u,e
o,o,a,a,b,y,y,f,e,p,w,o,n,m,e
o,f,f,c,x,y,y,f,e,p,w,o,n,g,e
g,a,d,c,b,y,y,f,e,p,w,o,s,g,e
i,n,h,b,x,y,n,f,e,p,w,o,s,u,p
d,i,f,a,x,s,w,f,t,p,w,o,s,g,e
k,n,c,b,x,y,w,f,e,p,w,o,s,m,e
e,m,d,a,b,s,w,f,e,p,w,o,n,g,e
o,k,g,a,x,f,n,f,t,p,w,o,y,d,e
l,i,j,b,x,s,n,f,e,p,w,o,s,u,p
k,f,a,b,x,y,n,f,e,p,w,o,y,p,e
d,a,h,b,x,s,n,f,t,p,w,o,a,g,e
b,n,g,c,b,y,y,f,e,p,w,o,n,m,e
m,e,a,a,x,s,y,f,e,p,w,o,n,m,e
e,h,e,a,b,s,y,f,e,p,w,o,s,m,e
q,l,e,b,x,s,y,f,e,p,w,o,n,m,e
l,k,a,a,b,y,w,f,e,p,w,o,n,g,e
m,i,h,c,x,f,g,f,e,p,w,o,v,u,e
a,c,b,b,f,y,n,f,e,p,w,o,s,g,e
s,h,j,a,x,f,g,f,t,p,w,o,a,g,e
i,b,c,b,x,s,w,f,e,p,w,o,n,m,e
f,j,f,a,x,y,y,f,e,p,w,o,s,m,e
p,n,j,a,x,f,g,f,e,p,w,o,v,u,e
l,b,f,b,x,s,n,f,e,p,w,o,s,u,p
d,e,i,a,b,y,w,f,e,p,w,o,n,g,e
i,b,d,a,b,y,w,f,e,p,w,o,n,m,e
q,e,a,a,x,y,n,f,e,p,w,o,v,u,p
e,a,d,a,b,s,y,f,e,p,w,o,s,m,e
l,f,i,b,x,s,w,f,e,p,w,o,s,m,e
h,b,i,a,x,y,y,f,e,p,w,o,s,m,e
m,d,f,a,b,y,y,f,e,p,w,o,n,g,e
p,d,f,a,x,s,w,f,e,p,w,o,s,m,e
l,o,a,b,x,s,w,f,e,p,w,o,s,g,e
e,g,g,c,x,y,n,f,e,p,w,o,y,p,e
l,i,c,a,x,s,w,f,e,p,w,o,s,m,e
e,g,b,c,x,s,n,f,t,p,w,o,s,g,e
n,f,c,b,x,y,n,f,e,p,w,o,s,p,e
j,l,f,b,x,y,y,f,e,p,w,o,y,g,e
p,n,a,b,x,y,n,f,e,p,w,o,v,g,p
p,h,b,c,b,y,y,f,e,p,w,o,n,g,e
q,e,f,b,x,f,w,f,t,p,w,o,v,d,e
d,a,j,c,x,s,n,f,e,p,w,o,s,u,p
i,f,i,a,x,y,y,f,e,p,w,o,n,g,e
m,h,c,a,f,f,g,f,t,p,w,o,a,g,e
l,m,i,c,x,y,w,f,e,p,w,o,s,g,e
p,c,g,a,b,y,w,f,e,p,w,o,s,m,e
f,h,i,b,x,y,n,f,e,p,w,o,s,u,p
r,k,e,c,f,y,n,f,e,p,w,o,s,g,e
b,d,i,a,x,s,w,f,e,p,w,o,n,m,e
e,d,c,b,x,s,w,f,t,p,w,o,v,d,e
o,b,j,b,f,y,n,f,e,p,w,o,y,p,e
p,e,c,a,b,s,w,f,e,p,w,o,n,m,e
q,k,h,c,x,s,w,f,t,p,w,o,a,g,e
e,i,g,b,f,f,g,f,e,p,w,o,v,u,e
m,f,d,c,x,y,w,f,e,p,w,o,s,g,e
f,n,i,b,x,y,y,f,e,p,w,o,y,g,e
a,a,g,a,b,s,y,f,e,p,w,o,s,g,e
h,f,i,b,b,s,y,f,e,p,w,o,s,g,e
k,j,c,c,f,s,w,f,t,p,w,o,v,d,e
b,b,a,b,b,s,w,f,e,p,w,o,n,m,e
h,c,e,b,x,f,y,f,t,p,w,o,v,d,e
g,a,g,c,x,y,w,f,e,p,w,o,n,m,e
k,a,i,b,b,y,y,f,e,p,w,o,n,m,e
s,e,j,b,x,y,n,f,e,p,w,o,y,p,e
s,i,g,b,x,y,w,f,e,p,w,o,s,m,e
e,a,b,c,x,y,w,f,e,p,w,o,s,m,e
r,h,j,a,x,y,y,f,e,p,w,o,y,p,e
k,j,i,b,x,y,w,f,e,p,w,o,n,m,e
i,d,a,b,x,s,y,f,e,p,w,o,n,m,e
i,i,c,a,x,y,n,f,e,p,w,o,s,g,e
m,o,d,b,x,s,w,f,e,p,w,o,n,g,e
d,k,e,b,f,y,n,f,e,p,w,o,s,g,e
a,o,j,b,b,s,w,f,e,p,w,o,s,m,e
m,n,a,b,x,f,n,f,t,p,w,o,y,d,e
l,k,e,b,x,y,w,f,e,p,w,o,s,m,e
f,j,d,c,b,s,w,f,e,p,w,o,n,g,e
h,j,f,b,b,s,y,f,e,p,w,o,n,m,e
c,n,g,b,x,f,y,f,t,p,w,o,v,d,e
h,h,b,c,b,s,w,f,e,p,w,o,n,m,e
p,b,g,a,x,s,g,f,t,p,w,o,a,g,e
f,j,e,b,b,s,w,f,e,p,w,o,n,g,e
h,k,g,a,b,s,y,f,e,p,w,o,s,m,e
m,b,i,b,f,y,y,f,e,p,w,o,y,p,e
e,j,b,c,f,y,n,f,e,p,w,o,y,p,e
r,h,g,a,x,s,w,f,e,p,w,o,s,m,e
